date,close_btc,close_xrp,close_eth,close_ltc,close_eos,close_dash
8/26/2017,4352.3,0.2097,332.86,51.58,1.36,396.74
8/27/2017,4345.75,0.2017,347.88,61.08,1.34,362.9
8/28/2017,4390.31,0.2252,347.66,62.36,1.33,356.56
8/29/2017,4597.31,0.2199,372.35,63.76,1.32,360.1
8/30/2017,4583.02,0.2319,383.86,65.97,1.25,371.61
8/31/2017,4735.11,0.2593,388.33,73.03,1.34,380.77
9/1/2017,4921.85,0.2529,391.42,87.88,1.32,395.46
9/2/2017,4573.8,0.2252,351.03,79.18,1.24,348.09
9/3/2017,4612.92,0.2303,352.45,79.04,1.3,356.27
9/4/2017,4267.45,0.2045,303.7,68.89,0.9142,313.65
9/5/2017,4409.08,0.2168,317.94,73.73,0.923,326.74
9/6/2017,4618.71,0.2314,338.92,81.44,0.9106,349.76
9/7/2017,4635.6,0.2271,335.37,80.25,0.9828,346.98
9/8/2017,4326.45,0.2122,306.72,73.19,0.8421,330.89
9/9/2017,4335.13,0.213,303.79,71.09,0.8174,324.84
9/10/2017,4245.89,0.2173,299.21,67.08,0.745,324.26
9/11/2017,4217.9,0.2143,297.95,68.13,0.735,317.75
9/12/2017,4158.92,0.2095,294.1,65.89,0.859,326.59
9/13/2017,3870.29,0.1983,275.84,61.78,0.7272,298.96
9/14/2017,3243.08,0.1711,223.14,45.2,0.5806,240.08
9/15/2017,3713.76,0.1846,259.57,52,0.6511,285.56
9/16/2017,3698.92,0.1828,254.49,52.1,0.624,300.27
9/17/2017,3689.61,0.1814,258.4,51,0.6233,312.09
9/18/2017,4100.28,0.1933,297.53,56.16,0.7049,335.58
9/19/2017,3907.96,0.1848,283,52.8,0.6493,325.95
9/20/2017,3882.16,0.1817,283.56,51.56,0.6166,342.58
9/21/2017,3617.27,0.171,257.77,46.46,0.5671,329.85
9/22/2017,3600.83,0.1728,262.94,47.67,0.5659,342.61
9/23/2017,3788.02,0.1791,286.14,49.29,0.578,351.08
9/24/2017,3667.52,0.1757,282.6,47.5,0.5454,329.2
9/25/2017,3932.83,0.1846,294.89,52.27,0.5688,348.22
9/26/2017,3892.7,0.1892,288.64,52.27,0.5614,341.7
9/27/2017,4212.2,0.2099,309.97,56.9,0.6314,350.51
9/28/2017,4195.65,0.2023,302.77,54.91,0.8085,342.36
9/29/2017,4172.79,0.1967,292.58,52.8,0.7146,328.7
9/30/2017,4360.62,0.1999,302.77,55.41,0.7274,329.58
10/1/2017,4403.09,0.2083,303.95,54.8,0.7085,317.01
10/2/2017,4401.32,0.2031,296.81,53.29,0.6549,307.98
10/3/2017,4314.18,0.2033,291.81,52.15,0.6308,294.5
